s,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m
Time,"Salon_T_upper","Salon_T_lower","Salon_O2_pct","Salon_CO_pct","Salon_CO2_pct","Salon_visibility_m","Pasillo_T_upper","Pasillo_T_lower","Pasillo_O2_pct","Pasillo_CO_pct","Pasillo_CO2_pct","Pasillo_visibility_m","Dormitorio1_T_upper","Dormitorio1_T_lower","Dormitorio1_O2_pct","Dormitorio1_CO_pct","Dormitorio1_CO2_pct","Dormitorio1_visibility_m","Dormitorio2_T_upper","Dormitorio2_T_lower","Dormitorio2_O2_pct","Dormitorio2_CO_pct","Dormitorio2_CO2_pct","Dormitorio2_visibility_m","Cocina_T_upper","Cocina_T_lower","Cocina_O2_pct","Cocina_CO_pct","Cocina_CO2_pct","Cocina_visibility_m","Bano_T_upper","Bano_T_lower","Bano_O2_pct","Bano_CO_pct","Bano_CO2_pct","Bano_visibility_m"
 1.9029887E+001, 2.3280269E+001, 2.0504180E+001, 2.0754809E+001, 6.5333869E-006, 3.9196032E-002, 3.0000000E+001, 2.0364156E+001, 2.0365065E+001, 2.0755882E+001, 3.0213746E-023, 3.8641183E-002, 3.0000000E+001, 2.0364144E+001, 2.0364814E+001, 2.0755882E+001, 2.1848131E-046, 3.8641183E-002, 3.0000000E+001, 2.0364190E+001, 2.0364265E+001, 2.0755882E+001, 6.8258855E-059, 3.8641183E-002, 3.0000000E+001, 2.0364710E+001, 2.0364282E+001, 2.0755882E+001, 4.3824077E-076, 3.8641183E-002, 3.0000000E+001, 2.0364350E+001, 2.0364404E+001, 2.0755882E+001, 1.8533437E-083, 3.8641183E-002, 3.0000000E+001
 2.0046697E+001, 2.2882003E+001, 2.0551796E+001, 2.0754670E+001, 7.3810575E-006, 3.9268020E-002, 3.0000000E+001, 2.0402596E+001, 2.0403553E+001, 2.0755882E+001, 6.3480950E-022, 3.8641183E-002, 3.0000000E+001, 2.0402525E+001, 2.0403277E+001, 2.0755882E+001, 1.7505243E-044, 3.8641183E-002, 3.0000000E+001, 2.0402576E+001, 2.0402713E+001, 2.0755882E+001, 2.5984207E-056, 3.8641183E-002, 3.0000000E+001, 2.0403140E+001, 2.0402729E+001, 2.0755882E+001, 8.4407274E-073, 3.8641183E-002, 3.0000000E+001, 2.0402693E+001, 2.0402855E+001, 2.0755882E+001, 4.4602553E-080, 3.8641183E-002, 3.0000000E+001
 2.1063508E+001, 2.2991803E+001, 2.0600396E+001, 2.0753940E+001, 1.1831575E-005, 3.9645982E-002, 3.0000000E+001, 2.0443131E+001, 2.0444133E+001, 2.0755882E+001, 2.8797697E-021, 3.8641183E-002, 3.0000000E+001, 2.0442983E+001, 2.0443832E+001, 2.0755882E+001, 6.6275363E-043, 3.8641183E-002, 3.0000000E+001, 2.0443048E+001, 2.0443249E+001, 2.0755882E+001, 3.6401245E-054, 3.8641183E-002, 3.0000000E+001, 2.0443656E+001, 2.0443269E+001, 2.0755882E+001, 4.1930017E-070, 3.8641183E-002, 3.0000000E+001, 2.0443109E+001, 2.0443395E+001, 2.0755882E+001, 3.9841218E-077, 3.8641183E-002, 3.0000000E+001
 2.2080318E+001, 2.3215364E+001, 2.0648949E+001, 2.0752421E+001, 2.1080555E-005, 4.0431453E-002, 3.0000000E+001, 2.0485419E+001, 2.0486467E+001, 2.0755882E+001, 1.1238194E-020, 3.8641183E-002, 3.0000000E+001, 2.0485172E+001, 2.0486134E+001, 2.0755882E+001, 1.6171531E-041, 3.8641183E-002, 3.0000000E+001, 2.0485263E+001, 2.0485530E+001, 2.0755882E+001, 2.8728349E-052, 3.8641183E-002, 3.0000000E+001, 2.0485912E+001, 2.0485558E+001, 2.0755882E+001, 7.0756363E-068, 3.8641183E-002, 3.0000000E+001, 2.0485255E+001, 2.0485680E+001, 2.0755882E+001, 1.4601659E-074, 3.8641183E-002, 3.0000000E+001
 2.3056338E+001, 2.3465395E+001, 2.0695799E+001, 2.0750613E+001, 3.2089980E-005, 4.1366430E-002, 3.0000000E+001, 2.0528911E+001, 2.0530005E+001, 2.0755882E+001, 4.9946602E-020, 3.8641183E-002, 3.0000000E+001, 2.0528541E+001, 2.0529629E+001, 2.0755882E+001, 2.7587108E-040, 3.8641183E-002, 3.0000000E+001, 2.0528664E+001, 2.0529003E+001, 2.0755882E+001, 1.3931785E-050, 3.8641183E-002, 3.0000000E+001, 2.0529356E+001, 2.0529043E+001, 2.0755882E+001, 5.5732588E-066, 3.8641183E-002, 3.0000000E+001, 2.0528581E+001, 2.0529156E+001, 2.0755882E+001, 2.0264063E-072, 3.8641183E-002, 3.0000000E+001
 2.4032358E+001, 2.3931898E+001, 2.0742182E+001, 2.0748093E+001, 4.7440022E-005, 4.2670036E-002, 3.0000000E+001, 2.0573565E+001, 2.0574706E+001, 2.0755882E+001, 2.3571689E-019, 3.8641183E-002, 3.0000000E+001, 2.0573040E+001, 2.0574271E+001, 2.0755882E+001, 3.7221660E-039, 3.8641183E-002, 3.0000000E+001, 2.0573204E+001, 2.0573620E+001, 2.0755882E+001, 5.5441694E-049, 3.8641183E-002, 3.0000000E+001, 2.0573939E+001, 2.0573676E+001, 2.0755882E+001, 3.2193219E-064, 3.8641183E-002, 3.0000000E+001, 2.0573039E+001, 2.0573775E+001, 2.0755882E+001, 1.5805403E-070, 3.8641183E-002, 3.0000000E+001
 2.5008378E+001, 2.4573794E+001, 2.0789533E+001, 2.0742490E+001, 8.1562373E-005, 4.5567883E-002, 3.0000000E+001, 2.0619099E+001, 2.0620306E+001, 2.0755882E+001, 4.0101147E-018, 3.8641183E-002, 3.0000000E+001, 2.0618397E+001, 2.0619792E+001, 2.0755882E+001, 3.8331290E-038, 3.8641183E-002, 3.0000000E+001, 2.0618617E+001, 2.0619112E+001, 2.0755882E+001, 1.6247626E-047, 3.8641183E-002, 3.0000000E+001, 2.0619393E+001, 2.0619189E+001, 2.0755882E+001, 1.2060433E-062, 3.8641183E-002, 3.0000000E+001, 2.0618360E+001, 2.0619271E+001, 2.0755882E+001, 9.1135142E-069, 3.8641183E-002, 3.0000000E+001
 2.6059476E+001, 2.6341934E+001, 2.0839586E+001, 2.0720918E+001, 2.1293884E-004, 5.6725054E-002, 2.8692260E+001, 2.0667433E+001, 2.0668777E+001, 2.0755882E+001, 2.4872807E-016, 3.8641183E-002, 3.0000000E+001, 2.0666558E+001, 2.0668145E+001, 2.0755882E+001, 3.6696375E-037, 3.8641183E-002, 3.0000000E+001, 2.0666847E+001, 2.0667434E+001, 2.0755882E+001, 4.2203242E-046, 3.8641183E-002, 3.0000000E+001, 2.0667667E+001, 2.0667536E+001, 2.0755882E+001, 2.9569504E-061, 3.8641183E-002, 3.0000000E+001, 2.0666488E+001, 2.0667593E+001, 2.0755882E+001, 6.1040407E-067, 3.8641183E-002, 3.0000000E+001
 2.7035496E+001, 2.7721334E+001, 2.0884516E+001, 2.0678086E+001, 4.7379163E-004, 7.8878026E-002, 1.6080112E+001, 2.0717335E+001, 2.0719034E+001, 2.0755882E+001, 9.6664535E-015, 3.8641183E-002, 3.0000000E+001, 2.0716434E+001, 2.0718235E+001, 2.0755882E+001, 3.0151724E-036, 3.8641183E-002, 3.0000000E+001, 2.0716805E+001, 2.0717490E+001, 2.0755882E+001, 8.4975708E-045, 3.8641183E-002, 3.0000000E+001, 2.0717668E+001, 2.0717622E+001, 2.0755882E+001, 4.5699681E-060, 3.8641183E-002, 3.0000000E+001, 2.0716338E+001, 2.0717650E+001, 2.0755882E+001, 3.2136453E-065, 3.8641183E-002, 3.0000000E+001
 2.8011516E+001, 2.8033656E+001, 2.0938347E+001, 2.0658001E+001, 5.9611265E-004, 8.9266161E-002, 1.2503506E+001, 2.0767203E+001, 2.0770316E+001, 2.0755882E+001, 1.3406388E-013, 3.8641183E-002, 3.0000000E+001, 2.0767279E+001, 2.0769311E+001, 2.0755882E+001, 2.1409259E-035, 3.8641183E-002, 3.0000000E+001, 2.0767744E+001, 2.0768531E+001, 2.0755882E+001, 1.5107801E-043, 3.8641183E-002, 3.0000000E+001, 2.0768648E+001, 2.0768696E+001, 2.0755882E+001, 6.3326459E-059, 3.8641183E-002, 3.0000000E+001, 2.0767172E+001, 2.0768689E+001, 2.0755882E+001, 1.1909876E-063, 3.8641183E-002, 3.0000000E+001
