time_s,room_id,room_name,hrr_kw,temp_upper_c,temp_lower_c,temp_at_0_9m_c,smoke_kg,visibility_m,smoke_layer_m,hot_layer_m,layer_150c_m,overpressure_pa,o2,co_ppm,co_upper_ppm,co2_ppm,fed,svv_worst_pct,flashover_triggered,flashover_time_s,fuel_remaining_MJ,ventilation_response_factor,pyrolysis_kw,burned_hrr_kw,unburned_generation_kw,retained_unburned_MJ,flame_hrr_target_kw,smolder_hrr_target_kw,pool_release_hrr_target_kw,o2_hrr_factor
50.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,0,0.0002,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
50.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,0,0.0002,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
50.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,0,0.0002,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
60.0,0,Salon,118.81,34.94,23.54,23.54,0.0389,30.00,2.388,1.434,2.400,0.432,0.20627,13,35,2037,0.0005,100.0,0,-1.0,5996.62,0.0000,167.86,118.81,0.00,0.0000,167.86,0.00,0.00,0.9902
60.0,1,Pasillo,0.00,20.01,20.01,20.01,0.0000,30.00,2.400,2.400,2.400,0.000,0.20896,0,0,73,0.0003,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
60.0,2,Dormitorio1,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,0,0.0003,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
60.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,0,0.0003,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
60.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,0,0.0003,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
60.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,0,0.0003,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
70.0,0,Salon,168.43,42.79,26.60,26.60,0.0606,30.00,2.380,1.375,2.400,0.712,0.20444,22,54,3316,0.0007,100.0,0,-1.0,5994.65,0.0000,226.21,168.43,0.00,0.0000,226.21,0.00,0.00,0.9816
70.0,1,Pasillo,0.00,20.02,20.02,20.02,0.0007,30.00,2.400,2.400,2.400,0.000,0.20891,1,0,216,0.0004,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
70.0,2,Dormitorio1,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,1,0.0003,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
70.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,1,0.0003,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
70.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,1,0.0003,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
70.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,1,0.0003,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
80.0,0,Salon,225.64,53.97,30.97,30.97,0.0894,30.00,2.364,1.363,2.400,1.070,0.20200,33,84,5015,0.0011,100.0,0,-1.0,5992.07,0.0000,290.98,225.64,0.00,0.0000,290.98,0.00,0.00,0.9687
80.0,1,Pasillo,0.00,20.04,20.04,20.04,0.0022,30.00,2.399,2.400,2.400,0.000,0.20875,3,0,514,0.0004,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
80.0,2,Dormitorio1,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,2,0.0004,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
80.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,4,0.0004,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
80.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,2,0.0004,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
80.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,3,0.0004,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
90.0,0,Salon,289.11,69.67,36.81,36.81,0.1271,30.00,2.334,1.371,2.400,1.513,0.19890,47,130,7141,0.0016,100.0,0,-1.0,5988.82,0.0000,360.32,289.11,0.00,0.0000,360.32,0.00,0.00,0.9507
90.0,1,Pasillo,0.00,20.09,20.09,20.09,0.0050,30.00,2.397,2.400,2.400,0.000,0.20842,7,0,1075,0.0005,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
90.0,2,Dormitorio1,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20899,0,0,6,0.0004,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
90.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20899,0,0,9,0.0004,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
90.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20900,0,0,4,0.0004,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
90.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20899,0,0,8,0.0004,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
100.0,0,Salon,357.05,91.37,44.28,44.28,0.1713,30.00,2.280,1.396,2.400,1.999,0.19511,64,204,9667,0.0023,100.0,0,-1.0,5984.85,0.0000,431.95,357.05,0.00,0.0000,431.95,0.00,0.00,0.9268
100.0,1,Pasillo,0.00,20.20,20.20,20.20,0.0096,30.00,2.395,2.400,2.400,0.000,0.20787,13,0,2031,0.0006,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
100.0,2,Dormitorio1,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20898,0,0,13,0.0005,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
100.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20898,0,0,19,0.0005,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
100.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20899,0,0,9,0.0005,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
100.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20898,0,0,17,0.0005,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
110.0,0,Salon,427.60,132.75,51.73,51.73,0.1731,30.00,2.292,1.545,2.400,2.262,0.19055,85,445,12451,0.0033,100.0,0,-1.0,5980.17,0.0000,504.77,427.60,0.00,0.0000,504.77,0.00,0.00,0.8964
110.0,1,Pasillo,0.00,20.42,20.42,20.42,0.0161,30.00,2.392,2.400,2.400,0.000,0.20709,24,0,3671,0.0008,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
110.0,2,Dormitorio1,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20897,0,0,26,0.0005,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
110.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20896,0,0,38,0.0005,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
110.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20898,0,0,18,0.0005,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
110.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20896,0,0,34,0.0005,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
120.0,0,Salon,499.31,193.51,58.70,58.70,0.1947,30.00,2.297,1.726,2.328,2.532,0.18507,112,825,15858,0.0046,100.0,0,-1.0,5974.76,0.0000,575.61,499.31,0.00,0.0000,575.61,0.00,0.00,0.8587
120.0,1,Pasillo,0.00,20.77,20.77,20.77,0.0217,30.00,2.389,2.400,2.400,0.000,0.20602,36,0,5331,0.0011,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
120.0,2,Dormitorio1,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20895,0,0,47,0.0006,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
120.0,3,Dormitorio2,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20892,0,0,70,0.0006,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
120.0,4,Cocina,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20896,0,0,33,0.0006,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
120.0,5,Bano,0.00,20.00,20.00,20.00,0.0000,30.00,2.400,2.400,2.400,0.000,0.20893,0,0,61,0.0006,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
130.0,0,Salon,566.74,242.51,66.61,66.61,0.2386,30.00,2.293,1.686,2.174,2.991,0.17876,145,1214,19775,0.0064,99.9,0,-1.0,5968.70,0.0000,634.67,566.74,0.00,0.0000,634.67,0.00,0.00,0.8128
130.0,1,Pasillo,0.00,161.62,21.22,21.22,0.0239,30.00,2.385,2.366,2.400,0.042,0.20466,48,683,5150,0.0014,100.0,0,-1.0,800.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
130.0,2,Dormitorio1,0.00,20.03,20.03,20.03,0.0010,30.00,2.400,2.400,2.400,0.000,0.20891,1,0,597,0.0006,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
130.0,3,Dormitorio2,0.00,20.05,20.05,20.05,0.0010,30.00,2.399,2.400,2.400,0.000,0.20887,1,0,903,0.0006,100.0,0,-1.0,2500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
130.0,4,Cocina,0.00,20.02,20.02,20.02,0.0010,30.00,2.400,2.400,2.400,0.000,0.20894,1,0,415,0.0006,100.0,0,-1.0,3500.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
130.0,5,Bano,0.00,20.04,20.04,20.04,0.0009,30.00,2.399,2.400,2.400,0.000,0.20888,1,0,800,0.0006,100.0,0,-1.0,400.00,0.0000,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,1.0000
